Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
IPCR	ERR360660	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
73-1102	ERR360661	1973	Asia	Southeast Asia	Vietnam	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
E00-5869  	ERR360662	2000	Asia	South Asia	Bangladesh	Not provided	2.3.3	"Wong et al, 2015 (global framework)"
E00-2756  	ERR360618	2000	Asia	South Asia	India	Not provided	2.0.0	"Wong et al, 2015 (global framework)"
IPCT	ERR360663	2007	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E02-2612  	ERR360664	2002	Asia	South Asia	India	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
IPCQ	ERR360665	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
07-291	ERR360666	2007	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E99-5920  	ERR360667	1999	Africa	North Africa	Tunisia	Not provided	2.0.2	"Wong et al, 2015 (global framework)"
E99-8067  	ERR360668	1999	Africa	North Africa	Algeria	Not provided	0.1.2	"Wong et al, 2015 (global framework)"
07-702	ERR360669	2007	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
08-10571	ERR360670	2008	Africa	West Africa	Mali	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
04-6845	ERR360671	2004	Africa	West Africa	Benin	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E00-3201  	ERR360672	2000	Africa	West Africa	Mali	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
E00-3370  	ERR360619	2000	Africa	North Africa	Morocco	Not provided	0.1.0	"Wong et al, 2015 (global framework)"
E01-0407  	ERR360673	2001	Asia	Western Asia	Turkey	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
IPCP	ERR360674	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
06-1513	ERR360675	2006	Africa	West Africa	Burkina Faso	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
09-6677	ERR360676	2009	Africa	North Africa	Algeria	Not provided	0.1.0	"Wong et al, 2015 (global framework)"
08-7714	ERR360677	2008	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
07-977	ERR360678	2007	Africa	Central Africa	CAR	Not provided	2.5.1	"Wong et al, 2015 (global framework)"
06-5029	ERR360679	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E02-1536  	ERR360680	2002	South America	South America	French Guiana	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
E02-0937  	ERR360681	2002	Africa	East Africa	Comoros	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
06-7490	ERR360682	2006	Africa	West Africa	Togo	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E02-0945  	ERR360620	2002	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
Q0904130	ERR360685	2006	Africa	Central Africa	CAR	Not provided	2.5.1	"Wong et al, 2015 (global framework)"
08-4327	ERR360686	2008	Africa	West Africa	Ivory Coast	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
09-2597	ERR360687	2009	Europe	Western Europe	France (African meal)	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E99-8095  	ERR360688	1999	Africa	North Africa	Algeria	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
IPCS	ERR360689	2006	Africa	Central Africa	Cameroon	Not provided	4.1.1	"Wong et al, 2015 (global framework)"
IPCN	ERR360690	2005	Africa	Central Africa	Cameroon	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E01-7006  	ERR360691	2001	Asia	Western Asia	Lebanon	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
E01-7101  	ERR360692	2001	Africa	West Africa	Togo	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
04-0339	ERR360621	2004	Africa	West Africa	Togo	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
08-7802	ERR360693	2008	Asia	Western Asia	Palestine	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
E00-7666  	ERR360694	2000	Africa	North Africa	Tunisia	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
E01-5741  	ERR360695	2001	Africa	Central Africa	Angola	Not provided	1.1.3	"Wong et al, 2015 (global framework)"
E00-6172  	ERR360696	2000	Asia	Southeast Asia	Indonesia	Blood	3.5.0	"Wong et al, 2015 (global framework)"
E99-6785  	ERR360622	1999	Africa	North Africa	Morocco	Not provided	0.1.0	"Wong et al, 2015 (global framework)"
2003-013044	ERR360738	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-006720	ERR360739	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-007824	ERR360740	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-010439	ERR360741	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-011433	ERR360742	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2005-005326	ERR360743	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-019983	ERR360744	2009	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-020666	ERR360745	2009	Asia	Southeast Asia	Cambodia	Thigh pus	4.3.1	"Wong et al, 2015 (global framework)"
2003-011175	ERR360746	2009	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-002168	ERR360747	2010	Asia	Southeast Asia	Cambodia	Blood	3.4.0	"Wong et al, 2015 (global framework)"
2010-012339	ERR360748	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-008387	ERR360754	2010	Asia	Southeast Asia	Cambodia	Pleural fluid	4.3.1	"Wong et al, 2015 (global framework)"
2011-002088	ERR360755	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2010-000934	ERR360756	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-007188	ERR360758	2011	Asia	Southeast Asia	Cambodia	Gallbladder fluid	4.3.1	"Wong et al, 2015 (global framework)"
2002-214318	ERR360759	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-008491	ERR360760	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-006459	ERR360761	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2002-205957	ERR360762	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-017523	ERR360763	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-009404	ERR360765	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-004677	ERR360766	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-015914	ERR360769	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-017747	ERR360770	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-017563	ERR360771	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-019378	ERR360772	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-019409	ERR360773	2011	Asia	Southeast Asia	Cambodia	Hip joint pus	4.3.1	"Wong et al, 2015 (global framework)"
01-2011-005712	ERR360774	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010218	ERR360775	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011302	ERR360776	2012	Asia	Southeast Asia	Cambodia	Stool	4.3.1	"Wong et al, 2015 (global framework)"
2012-011333	ERR360777	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-011024	ERR360778	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-019645	ERR360779	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-019909	ERR360780	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011344	ERR360781	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-011089	ERR360782	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010551	ERR360783	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010616	ERR360785	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2010-000073	ERR360786	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011809	ERR360787	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010204	ERR360788	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2005-012355	ERR360789	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-015100	ERR360791	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-017695	ERR360792	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1035759	ERR360793	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1003117	ERR360802	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ1GA	ERR360803	2012	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1007000	ERR360804	2010	Africa	Southern Africa	Malawi	Blood	2.2.2	"Wong et al, 2015 (global framework)"
BHA1P5	ERR360805	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ2KZ	ERR360806	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4SJ	ERR360807	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4NZ	ERR360809	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ2H5	ERR360810	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BHA2HH	ERR360811	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4CF	ERR360794	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1003078	ERR360812	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
D56675	ERR360813	2010	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
A59204	ERR360814	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
BHA2QL	ERR360815	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4H1	ERR360816	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1038377	ERR360817	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1037921	ERR360818	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4E3	ERR360819	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
D55055	ERR360820	2010	Africa	Southern Africa	Malawi	Blood	2.2.0	"Wong et al, 2015 (global framework)"
D56393	ERR360821	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
A57501	ERR360795	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
A58452	ERR360822	2010	Africa	Southern Africa	Malawi	Blood	3.3.1	"Wong et al, 2015 (global framework)"
A59217	ERR360824	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A58450	ERR360825	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
D54782	ERR360826	2010	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
BKQ4JU	ERR360827	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1036491	ERR360828	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1036143	ERR360829	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ4D9	ERR360830	2013	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A58372	ERR360796	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
A58390	ERR360832	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A59307	ERR360833	2010	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1005624	ERR360797	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-013700	ERR360845	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2004-007692	ERR360846	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-000234	ERR360847	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-017391	ERR360848	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1003108	ERR360798	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BKQ22S	ERR360799	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1004971	ERR360800	2010	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1006099	ERR360801	2010	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-003275	ERR360889	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-025892	ERR360890	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-007203	ERR360891	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-015926	ERR360954	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-018118	ERR360955	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-018908	ERR360956	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2010-005821	ERR360958	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-020905	ERR360959	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2006-024861	ERR360960	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2011-000664	ERR360961	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-024146	ERR360962	2011	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010535	ERR360963	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010742	ERR360964	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-009188	ERR360965	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-018790	ERR360966	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2012-002891	ERR360967	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-020523	ERR360968	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2003-000735	ERR360970	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011897	ERR360971	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011885	ERR360972	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011284	ERR360973	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2012-003910	ERR360975	2012	Asia	Southeast Asia	Cambodia	Stool	4.3.1	"Wong et al, 2015 (global framework)"
2012-004687	ERR360976	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-016786	ERR360977	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2010-001056	ERR360978	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010759	ERR360979	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-007991	ERR360948	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-000742	ERR360980	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-010559	ERR360981	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2012-002876	ERR360982	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2009-012656	ERR360983	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-019292	ERR360984	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2010-005164	ERR360985	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-016977	ERR360949	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-012029	ERR360986	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-011846	ERR360987	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-012131	ERR360988	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2004-006350	ERR360990	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2002-213689	ERR360991	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2002-215815	ERR360992	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2011-005568	ERR360993	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
01-2011-004759	ERR360994	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-014737	ERR360995	2012	Asia	Southeast Asia	Cambodia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
2012-015146	ERR360996	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-019308	ERR360997	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-020127	ERR360998	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2011-008969	ERR360999	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2012-022646	ERR361000	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-012004	ERR360950	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010-012486	ERR360952	2010	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H09176224	ERR422751	2009	Asia	South Asia	India	Blood	4.3.1	This study (travellers)
H09354568	ERR422759	2009	Asia	South Asia	India	Blood	4.3.1	This study (travellers)
H10044399	ERR422762	2010	Asia	South Asia	India	Blood	4.3.1	This study (travellers)
H10046338	ERR422764	2010	Unknown	Unknown	Unknown	Blood	4.3.1	This study (travellers)
H10048267	ERR422765	2010	Asia	South Asia	India	Blood	4.3.1	This study (travellers)
H10084431	ERR422766	2010	Asia	South Asia	Bangladesh	Blood	4.3.1	This study (travellers)
H10090344	ERR422767	2010	Asia	South Asia	"Bangladesh, India"	Blood	3.3.0	This study (travellers)
H10092333	ERR422768	2010	Asia	South Asia	"Bangladesh, India"	Blood	3.3.0	This study (travellers)
H09188293	ERR422752	2009	Asia	South Asia	Bangladesh	Blood	4.3.1	This study (travellers)
H10100338	ERR422769	2010	Asia	South Asia	Bangladesh	Blood	3.3.0	This study (travellers)
H10106250	ERR422770	2010	Asia	South Asia	India	Blood	4.3.1	This study (travellers)
H10108318	ERR422771	2010	Asia	South Asia	Bangladesh	Blood	3.3.0	This study (travellers)
H1011698	ERR422772	2010	Asia	South Asia	Bangladesh	Blood	3.3.0	This study (travellers)
